ANIO;MARCA;MODELO;CAMIONES_TRACTO;CARROCERIA;ANIOFAB;PESOBRUTO;FORMULA_RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;ORIGEN;TIPO;CLASE_FINAL
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;0;0;0;0;9;9;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;5;6;0;0;0;0;0;11;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2011;17100;4X2;5;2;0;0;0;0;0;0;0;0;0;0;7;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2012;17100;4X2;1;4;3;2;1;0;0;0;0;0;0;0;11;Europea;RIGID;MHDV
2013;VOLKSWAGEN;19.32;TRACTOCAMIONES;REMOLCADOR;2013;45000;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;TRACTO;MHDV
2013;VOLKSWAGEN;19.32;TRACTOCAMIONES;REMOLCADOR;2011;45000;4X2;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;MHDV
2013;VOLKSWAGEN;19.32;TRACTOCAMIONES;REMOLCADOR;2013;45000;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;TRACTO;MHDV
2013;VOLKSWAGEN;24.250E;CAMIONES;CABINADO;2012;24100;6X2;0;0;0;0;0;0;0;0;0;0;3;0;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;24.250E;CAMIONES;CABINADO;2012;24100;6X2;0;0;0;2;0;0;1;0;0;0;0;0;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;24.250E;CAMIONES;CABINADO;2012;24100;6X2;0;0;0;0;0;0;0;0;0;0;0;3;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;24.250E;CAMIONES;CABINADO;2012;24100;6X2;2;3;2;7;4;3;8;3;5;0;0;0;37;Europea;RIGID;MHDV
2013;VOLKSWAGEN;24.250E;CAMIONES;CABINADO;2013;24100;6X2;0;0;0;0;0;0;0;0;0;0;10;0;10;Europea;RIGID;MHDV
2013;VOLKSWAGEN;24.250E;CAMIONES;CABINADO;2013;24100;6X2;0;0;0;0;0;0;0;0;0;3;0;0;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;26.22;CAMIONES;CABINADO;2012;26200;6X4;0;0;0;0;0;0;0;0;0;0;1;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;26.22;CAMIONES;CABINADO;2012;26200;6X4;0;0;0;0;0;0;0;0;0;7;0;0;7;Europea;RIGID;MHDV
2013;VOLKSWAGEN;26.22;CAMIONES;CABINADO;2012;26200;6X4;1;0;0;3;3;0;0;0;0;0;0;0;7;Europea;RIGID;MHDV
2013;VOLKSWAGEN;26.22;CAMIONES;CABINADO;2012;26200;6X4;0;0;0;0;2;0;1;0;0;0;0;0;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;26.26;CAMIONES;CISTERNA;2011;26200;6X4;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;MHDV
