ANIO;MES;OFICINA;CHASIS;CLASE;SUBCLASE;CARROCERIA;MARCA;MODELO;ORIGEN;FORMULARODANTE; PBV ;FABRICACION
2019;ABRIL;TRUJILLO;162843;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 6X4R;BRAZIL                                                      ;6X4;32,000;2018
2019;ABRIL;LIMA;161625;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 6X2R;BRAZIL                                                      ;6X2;24,000;2018
2019;ABRIL;LIMA;162692;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 6X2R;BRAZIL                                                      ;6X2;24,000;2018
2019;ABRIL;LIMA;162357;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 4X2R;BRAZIL;4X2;16,800;2018
2019;ABRIL;LIMA;162147;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 4X2R;BRAZIL                                                      ;4X2;16,800;2018
2019;ABRIL;LIMA;859248;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 8X4R;BRAZIL;8X4;52,000;2018
2019;ABRIL;LIMA;859414;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 8X4R;BRAZIL;8X4;52,000;2018
2019;ABRIL;TRUJILLO;859473;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 8X4R;BRAZIL;8X4;52,000;2018
2019;ABRIL;LIMA;858303;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;LIMA;858054;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;TRUJILLO;858323;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;LIMA;858052;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;LIMA;860259;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;TRUJILLO;861737;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;TRUJILLO;860473;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;LIMA;860474;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;LIMA;860471;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;BRAZIL                                                      ;6X4;41,000;2018
2019;ABRIL;LIMA;117997;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FL 4X2R;FRANCE                                                      ;4X2;18,000;2018
2019;ABRIL;LIMA;119187;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FL 4X2R;FRANCE                                                      ;4X2;18,000;2018
2019;ABRIL;TACNA;119928;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FL 4X2R;FRANCE                                                      ;4X2;18,000;2018
2019;ABRIL;LIMA;858248;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FH 6X4R;BRAZIL;6X4;28,500;2018
2019;ABRIL;LIMA;120031;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FE 6X4R;FRANCE                                                      ;6X4;28500;2018
2019;ABRIL;LIMA;120171;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FE 6X4R;FRANCE                                                      ;6X4;28500;2018
2019;ABRIL;LIMA;119477;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FE 6X4R;FRANCE                                                      ;6X4;28500;2018
